,date,location,location_name,value
16788,2020-09-13,15,Hawaii,22
16789,2020-08-09,44,Rhode Island,4
16790,2020-07-25,04,Arizona,265
16791,2020-09-26,44,Rhode Island,4
16792,2020-08-02,32,Nevada,86
16793,2020-08-15,55,Wisconsin,70
16794,2020-08-05,42,Pennsylvania,114
16795,2020-10-05,50,Vermont,2
16796,2020-09-28,34,New Jersey,28
16797,2020-08-12,55,Wisconsin,73
16798,2020-10-06,01,Alabama,134
16799,2020-08-26,54,West Virginia,20
16800,2020-07-14,26,Michigan,33
16801,2020-07-21,37,North Carolina,129
16802,2020-09-21,72,Puerto Rico,26
16803,2020-08-20,54,West Virginia,11
16804,2020-08-04,21,Kentucky,170
16805,2020-07-22,45,South Carolina,159
16806,2020-07-16,30,Montana,7
16807,2020-07-30,42,Pennsylvania,106
16808,2020-09-21,26,Michigan,42
16809,2020-07-16,06,California,614
16810,2020-08-06,16,Idaho,23
16811,2020-09-14,35,New Mexico,7
16812,2020-07-20,45,South Carolina,121
16813,2020-09-19,50,Vermont,0
16814,2020-09-07,42,Pennsylvania,51
16815,2020-08-14,17,Illinois,121
